player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Model,pele,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,40,65,8,73,81,43,11
Me,harry,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,39,68,5,73,81,46,11
Market,crowd,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,44,61,10,71,81,45,8
Model,pele,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,41,65,8,73,81,43,11
Me,harry,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,40,68,5,73,81,46,11
Market,crowd,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,2-0,home,1-1,draw,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,1-0,home,1-1,draw,0,0,0,41,65,8,73,81,43,11
Me,harry,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,2-0,home,1-1,draw,0,0,0,40,68,5,73,81,46,11
Market,crowd,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,41,65,8,73,81,43,11
Me,harry,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-1,draw,1-1,draw,1,1,3,43,68,5,73,81,46,11
Market,crowd,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,1-1,draw,1-2,away,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,0-1,away,1-2,away,1,0,1,42,65,8,73,81,43,11
Me,harry,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,0-1,away,1-2,away,1,0,1,44,68,5,73,81,46,11
Market,crowd,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,45,61,10,71,81,45,8
Model,pele,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,43,65,8,73,81,43,11
Me,harry,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,45,68,5,73,81,46,11
Market,crowd,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,1-0,home,2-0,home,1,0,1,46,61,10,71,81,45,8
Model,pele,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,0-0,draw,2-0,home,0,0,0,43,65,8,73,81,43,11
Me,harry,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,1-0,home,2-0,home,1,0,1,46,68,5,73,81,46,11
Market,crowd,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,2-0,home,2-0,home,1,1,3,49,61,10,71,81,45,8
Model,pele,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,1-0,home,2-0,home,1,0,1,44,65,8,73,81,43,11
Me,harry,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,2-0,home,2-0,home,1,1,3,49,68,5,73,81,46,11
Market,crowd,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,2-0,home,3-0,home,1,0,1,50,61,10,71,81,45,8
Model,pele,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,1-0,home,3-0,home,1,0,1,45,65,8,73,81,43,11
Me,harry,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,2-0,home,3-0,home,1,0,1,50,68,5,73,81,46,11
Market,crowd,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,1-0,home,2-1,home,1,0,1,51,61,10,71,81,45,8
Model,pele,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,1-0,home,2-1,home,1,0,1,46,65,8,73,81,43,11
Me,harry,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,2-0,home,2-1,home,1,0,1,51,68,5,73,81,46,11
Market,crowd,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,52,61,10,71,81,45,8
Model,pele,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,47,65,8,73,81,43,11
Me,harry,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,52,68,5,73,81,46,11
